01/01/17	0	100d05.4
01/01/17	1	115d07.9
01/01/17	2	130d10.4
01/01/17	3	145d12.8
01/01/17	4	160d15.3
01/01/17	5	175d17.8
01/01/17	6	190d20.2
01/01/17	7	205d22.7
01/01/17	8	220d25.2
01/01/17	9	235d27.6
01/01/17	10	250d30.1
01/01/17	11	265d32.6
01/01/17	12	280d35.0
01/01/17	13	295d37.5
01/01/17	14	310d39.9
01/01/17	15	325d42.4
01/01/17	16	340d44.9
01/01/17	17	355d47.3
01/01/17	18	10d49.8
01/01/17	19	25d52.3
01/01/17	20	40d54.7
01/01/17	21	55d57.2
01/01/17	22	70d59.7
01/01/17	23	86d02.1
01/02/17	0	101d04.6
01/02/17	1	116d07.0
01/02/17	2	131d09.5
01/02/17	3	146d12.0
01/02/17	4	161d14.4
01/02/17	5	176d16.9
01/02/17	6	191d19.4
01/02/17	7	206d21.8
01/02/17	8	221d24.3
01/02/17	9	236d26.8
01/02/17	10	251d29.2
01/02/17	11	266d31.7
01/02/17	12	281d34.2
01/02/17	13	296d36.6
01/02/17	14	311d39.1
01/02/17	15	326d41.5
01/02/17	16	341d44.0
01/02/17	17	356d46.5
01/02/17	18	11d48.9
01/02/17	19	26d51.4
01/02/17	20	41d53.9
01/02/17	21	56d56.3
01/02/17	22	71d58.8
01/02/17	23	87d01.3
01/03/17	0	102d03.7
01/03/17	1	117d06.2
01/03/17	2	132d08.7
01/03/17	3	147d11.1
01/03/17	4	162d13.6
01/03/17	5	177d16.0
01/03/17	6	192d18.5
01/03/17	7	207d21.0
01/03/17	8	222d23.4
01/03/17	9	237d25.9
01/03/17	10	252d28.4
01/03/17	11	267d30.8
01/03/17	12	282d33.3
01/03/17	13	297d35.8
01/03/17	14	312d38.2
01/03/17	15	327d40.7
01/03/17	16	342d43.1
01/03/17	17	357d45.6
01/03/17	18	12d48.1
01/03/17	19	27d50.5
01/03/17	20	42d53.0
01/03/17	21	57d55.5
01/03/17	22	72d57.9
01/03/17	23	88d00.4
01/04/17	0	103d02.9
01/04/17	1	118d05.3
01/04/17	2	133d07.8
01/04/17	3	148d10.3
01/04/17	4	163d12.7
01/04/17	5	178d15.2
01/04/17	6	193d17.6
01/04/17	7	208d20.1
01/04/17	8	223d22.6
01/04/17	9	238d25.0
01/04/17	10	253d27.5
01/04/17	11	268d30.0
01/04/17	12	283d32.4
01/04/17	13	298d34.9
01/04/17	14	313d37.4
01/04/17	15	328d39.8
01/04/17	16	343d42.3
